id,Gender,Customer Type,Age,Type of Travel,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction,Customer Feedback,Requested Special Assistance,Passenger Group,Class
19556,1,1,52,1,160,5,4,3,4,3,4,3,5,5,5,5,2,5,5,50,44,1,1,0,0,Eco
90035,1,1,36,1,2863,1,1,3,1,5,4,5,4,4,4,4,3,4,5,0,0,1,1,0,2,Business
12360,0,0,20,1,192,2,0,2,4,2,2,2,2,4,1,3,2,2,2,0,0,0,0,0,0,Eco
77959,0,1,44,1,3377,0,0,0,2,3,4,4,1,1,1,1,3,1,4,0,6,1,1,0,2,Business
36875,1,1,49,1,1182,2,3,4,3,4,1,2,2,2,2,2,4,2,4,0,20,1,1,0,1,Eco
39177,0,1,16,1,311,3,3,3,3,5,5,3,5,4,3,1,1,2,5,0,0,1,1,0,0,Eco
79433,1,1,77,1,3987,5,5,5,5,3,5,5,5,5,5,5,4,5,3,0,0,1,1,1,2,Business
97286,1,1,43,1,2556,2,2,2,2,4,4,5,4,4,4,4,5,4,3,77,65,1,1,0,2,Business
27508,0,1,47,1,556,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1,0,1,1,0,1,Eco
62482,1,1,46,1,1744,2,2,2,2,3,4,4,4,4,4,4,5,4,4,28,14,1,1,0,2,Business
47583,1,1,47,1,1235,4,1,1,1,5,1,5,3,3,4,3,1,3,4,29,19,1,1,0,1,Eco
115550,1,1,33,1,325,2,5,5,5,1,3,4,2,2,2,2,3,2,4,18,7,0,0,0,0,Business
119987,1,1,46,1,1009,5,5,5,5,4,5,5,5,5,5,5,5,5,3,0,0,1,1,0,1,Business
42141,1,1,60,1,451,1,1,4,1,5,5,4,5,5,5,5,3,5,5,117,113,1,1,0,0,Business
2274,1,1,52,1,925,2,2,2,2,5,5,4,4,4,4,4,3,4,5,10,0,1,1,0,1,Business
22470,0,1,50,0,83,3,4,0,3,2,0,2,2,4,2,4,4,5,2,5,2,0,0,0,0,Eco
124915,1,1,31,1,728,2,5,5,5,2,2,2,2,4,3,3,4,3,2,2,0,0,0,0,1,Eco
17836,0,1,52,0,1075,5,4,5,3,4,5,4,4,3,5,5,4,5,4,0,0,1,1,0,1,Eco Plus
76872,1,1,43,0,1927,3,4,3,1,4,4,5,5,5,3,5,4,5,3,0,0,0,0,0,2,Eco
64287,1,1,50,1,3799,5,5,5,5,4,5,4,4,4,5,4,5,4,5,8,0,1,1,0,2,Business
