id,Gender,Customer Type,Age,Type of Travel,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Class
19556,0,0,52,0,160,5,4,3,4,3,4,3,5,5,5,5,2,5,5,50,44.0,1,Eco
90035,0,0,36,0,2863,1,1,3,1,5,4,5,4,4,4,4,3,4,5,0,0.0,1,Business
12360,1,1,20,0,192,2,0,2,4,2,2,2,2,4,1,3,2,2,2,0,0.0,0,Eco
77959,1,0,44,0,3377,0,0,0,2,3,4,4,1,1,1,1,3,1,4,0,6.0,1,Business
36875,0,0,49,0,1182,2,3,4,3,4,1,2,2,2,2,2,4,2,4,0,20.0,1,Eco
39177,1,0,16,0,311,3,3,3,3,5,5,3,5,4,3,1,1,2,5,0,0.0,1,Eco
79433,0,0,77,0,3987,5,5,5,5,3,5,5,5,5,5,5,4,5,3,0,0.0,1,Business
97286,0,0,43,0,2556,2,2,2,2,4,4,5,4,4,4,4,5,4,3,77,65.0,1,Business
27508,1,0,47,0,556,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1,0.0,1,Eco
62482,0,0,46,0,1744,2,2,2,2,3,4,4,4,4,4,4,5,4,4,28,14.0,1,Business
47583,0,0,47,0,1235,4,1,1,1,5,1,5,3,3,4,3,1,3,4,29,19.0,1,Eco
115550,0,0,33,0,325,2,5,5,5,1,3,4,2,2,2,2,3,2,4,18,7.0,0,Business
119987,0,0,46,0,1009,5,5,5,5,4,5,5,5,5,5,5,5,5,3,0,0.0,1,Business
42141,0,0,60,0,451,1,1,4,1,5,5,4,5,5,5,5,3,5,5,117,113.0,1,Business
2274,0,0,52,0,925,2,2,2,2,5,5,4,4,4,4,4,3,4,5,10,0.0,1,Business
22470,1,0,50,1,83,3,4,0,3,2,0,2,2,4,2,4,4,5,2,5,2.0,0,Eco
124915,0,0,31,0,728,2,5,5,5,2,2,2,2,4,3,3,4,3,2,2,0.0,0,Eco
17836,1,0,52,1,1075,5,4,5,3,4,5,4,4,3,5,5,4,5,4,0,0.0,1,Eco Plus
76872,0,0,43,1,1927,3,4,3,1,4,4,5,5,5,3,5,4,5,3,0,0.0,0,Eco
64287,0,0,50,0,3799,5,5,5,5,4,5,4,4,4,5,4,5,4,5,8,0.0,1,Business
63995,1,0,60,0,612,4,4,4,4,2,4,5,5,5,5,5,5,5,5,21,49.0,1,Business
75855,1,0,43,1,1437,3,4,3,4,2,3,2,2,4,2,4,4,5,2,0,0.0,0,Eco
106181,1,0,55,1,302,1,2,4,3,4,4,4,4,1,3,2,4,3,4,0,0.0,0,Eco
44304,1,0,25,0,1428,4,4,4,4,4,4,4,4,1,5,3,1,5,4,0,0.0,1,Business
82602,0,1,30,0,528,4,3,5,3,2,5,2,2,3,2,3,4,4,2,0,0.0,0,Eco
7823,1,0,62,1,710,3,5,3,4,2,3,2,2,3,5,5,4,4,2,0,0.0,0,Eco
127781,1,0,24,0,3680,4,1,4,4,2,2,2,2,5,5,5,5,4,2,0,0.0,1,Business
34501,0,0,22,0,1521,4,1,1,1,4,4,4,4,1,4,1,1,5,4,3,13.0,1,Eco
121658,1,0,44,0,1543,3,5,3,3,5,4,5,5,5,5,5,5,5,5,0,0.0,1,Business
20219,1,0,51,0,235,4,3,3,3,4,4,4,4,3,2,3,3,4,4,0,0.0,0,Eco
67551,1,0,43,1,1235,1,5,1,1,1,1,4,3,3,1,5,4,3,5,0,0.0,0,Business
48994,0,0,56,0,308,2,3,3,3,5,2,5,2,2,2,2,2,2,2,0,0.0,1,Eco
70811,1,1,41,0,624,2,3,2,4,5,2,5,5,4,3,3,1,4,5,0,0.0,0,Eco
75241,1,0,22,1,1846,4,5,4,4,5,4,5,5,5,4,4,4,4,5,40,68.0,0,Eco
12312,0,0,53,0,192,5,2,2,2,3,4,2,5,5,5,5,2,5,4,0,1.0,1,Eco
48372,1,0,12,1,674,3,4,3,1,1,3,1,1,3,3,5,4,4,1,80,70.0,0,Eco
51477,0,0,39,0,370,3,3,3,3,2,4,5,4,4,4,4,4,4,5,10,12.0,1,Business
84204,0,0,55,0,3169,1,1,1,1,3,5,4,5,5,5,5,3,5,5,73,68.0,1,Business
